Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted,dn,mavg,up,direction
2023-09-16,115.120003,116.129997,114.040001,114.919998,79886900,113.839427,102.5195173,108.0763331,113.6331489,Decreasing
2023-09-19,115.190002,116.18,113.25,113.580002,47023000,112.51203,102.1539956,108.3363331,114.5186705,Decreasing
2023-09-20,113.050003,114.120003,112.510002,113.57,34514300,112.502122,102.016673,108.5819998,115.1473266,Increasing
2023-09-21,113.849998,113.989998,112.440002,113.550003,36003200,112.482314,101.9193147,108.8033333,115.6873518,Decreasing
2023-09-22,114.349998,114.940002,114,114.620003,31074000,113.542252,101.8116786,109.1216667,116.4316548,Increasing
2023-09-23,114.419998,114.790001,111.550003,112.709999,52481200,111.650208,101.9509471,109.4036668,116.8563865,Decreasing
2023-09-26,111.639999,113.389999,111.550003,112.879997,29869400,111.818608,102.1842916,109.6806668,117.1770421,Increasing
2023-09-27,113,113.18,112.339996,113.089996,24607400,112.026632,102.4806621,109.9816667,117.4826712,Increasing
2023-09-28,113.690002,114.639999,113.43,113.949997,29641100,112.878547,102.9191994,110.3819999,117.8448005,Increasing
2023-09-29,113.160004,113.800003,111.800003,112.18,35887000,111.125193,103.454687,110.7065001,117.9583131,Decreasing
2023-09-30,112.459999,113.370003,111.800003,113.050003,36379100,111.987015,104.0048036,111.0243334,118.0438632,Increasing
2023-10-03,112.709999,113.050003,112.279999,112.519997,21701800,111.461992,104.4192999,111.2793333,118.1393668,Decreasing
2023-10-04,113.059998,114.309998,112.629997,113,29736800,111.937482,104.8287959,111.5531666,118.2775372,Decreasing
2023-10-05,113.400002,113.660004,112.690002,113.050003,21453100,111.987015,105.2474203,111.8066667,118.365913,Decreasing
2023-10-06,113.699997,114.339996,113.129997,113.889999,28779300,112.819113,106.1554048,112.1955,118.2355952,Increasing
2023-10-07,114.309998,114.559998,113.510002,114.059998,24358400,112.987513,107.9334949,112.698,117.4625052,Decreasing
2023-10-10,115.019997,116.75,114.720001,116.050003,36236000,114.958807,110.0729851,113.2618334,116.4506817,Increasing
2023-10-11,117.699997,118.690002,116.199997,116.300003,64041000,115.206456,111.1298038,113.7153335,116.3008632,Decreasing
2023-10-12,117.349998,117.980003,116.75,117.339996,37586800,116.23667,111.2667577,114.0265003,116.7862428,Decreasing
2023-10-13,116.790001,117.440002,115.720001,116.980003,35192400,115.880062,111.1382638,114.115667,117.0930702,Increasing
2023-10-14,117.879997,118.169998,117.129997,117.629997,35652200,116.523945,110.9119196,114.2463336,117.5807476,Decreasing
2023-10-17,117.330002,117.839996,116.779999,117.550003,23624900,116.444703,110.7934513,114.3990002,118.0045491,Increasing
2023-10-18,118.18,118.209999,117.449997,117.470001,24553500,116.365453,110.7664921,114.6145001,118.462508,Decreasing
2023-10-19,117.25,117.760002,113.800003,117.120003,20034600,116.018745,110.8980004,114.7595002,118.6209999,Decreasing
2023-10-20,116.860001,117.379997,116.330002,117.059998,24125800,115.959304,110.9074654,114.8796667,118.8518679,Increasing
2023-10-21,116.809998,116.910004,116.279999,116.599998,23192700,115.503631,111.1158651,115.0586667,119.0014682,Decreasing
2023-10-24,117.099998,117.739998,117,117.650002,23538700,116.543761,111.3946042,115.3015,119.2083958,Increasing
2023-10-25,117.949997,118.360001,117.309998,118.25,48129000,117.138118,111.6517095,115.5566668,119.4616241,Increasing
2023-10-26,114.309998,115.699997,113.309998,115.589996,66134200,114.503125,111.7453165,115.5996667,119.4540169,Increasing
2023-10-27,115.389999,115.860001,114.099998,114.480003,34562000,113.403569,112.0881275,115.7106666,119.3332058,Decreasing
2023-10-28,113.870003,115.209999,113.449997,113.720001,37861700,112.650713,112.3390108,115.7799998,119.2209887,Decreasing
2023-10-31,113.650002,114.230003,113.199997,113.540001,26419400,112.472406,112.5563378,115.8319998,119.1076618,Decreasing
2023-11-01,113.459999,113.769997,110.529999,111.489998,43825800,110.441678,112.2291083,115.7628331,119.296558,Decreasing
2023-11-02,111.400002,112.349998,111.230003,111.589996,28331700,110.540737,111.9044585,115.6923329,119.4802074,Increasing
2023-11-03,110.980003,111.459999,109.550003,109.830002,26932600,109.35588,111.1172978,115.5169998,119.9167018,Decreasing
2023-11-04,108.529999,110.25,108.110001,108.839996,30837000,108.370149,110.0723288,115.2681664,120.4640041,Increasing
2023-11-07,110.080002,110.510002,109.459999,110.410004,32560000,109.933378,109.3352076,114.9824998,120.6297919,Increasing
2023-11-08,110.309998,111.720001,109.699997,111.059998,24054500,110.580566,108.8319023,114.6706664,120.5094304,Increasing
2023-11-09,109.879997,111.32,108.050003,110.879997,59176400,110.401343,108.2797318,114.3069997,120.3342676,Increasing
2023-11-10,111.089996,111.089996,105.830002,107.790001,57134500,107.324686,107.4162413,113.8831663,120.3500912,Decreasing
2023-11-11,107.120003,108.870003,106.550003,108.43,34143900,107.961922,106.6832759,113.3984998,120.1137237,Increasing
2023-11-14,107.709999,107.809998,104.080002,105.709999,51175500,105.253663,105.6163877,112.8223332,120.0282786,Decreasing
2023-11-15,106.57,107.68,106.160004,107.110001,32264500,106.647621,105.0185409,112.286,119.553459,Increasing
